dates,details,scores,reviews
 7/31/2022 , Rhonda |  Age: 65-74 |   On supplement for less than 1 month |   ," Condition: Other , Overall rating 1.7 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I took biotin for 1 week.  I started having muscle and bone pain in my hips, legs and back.  I developed diarrhea.  I immediately stopped taking it.
It made me feel very ill."
 7/8/2022 , atypicaloutlier |  Age: 35-44 |     ," Condition: Biotin deficiency , Overall rating 2.7 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I didn’t really need supplemental biotin, but I took it anyway, just because my mom takes it. I took 5,000 mcg once daily for about 7 to 10 days, and I started noticing strange effects, i.e., skin rash, amphetamine-like energy/talkativeness, reduced back pain, decreased need for opioids, and profound insomnia. It’s somewhat of a mixed bag, but beware that biotin supplements can do bizarre and awful things. "
 6/8/2022 ,  Age: 19-24 |   On supplement for 1 to less than 2 years |   ," Condition: Brittle nails , Overall rating 4.7 ,Effectiveness,Ease of Use,Satisfaction,Report this post",I used to have very thin nails that bent when i pressed against them. They would break and rip and shed off in layers. i would say biotin has helped in the last couple years. my nails are now hard and they grow a lot longer than they used to. 
 5/13/2022 , Amelia |  Age: 19-24 |   On supplement for 1 to 6 months |   ," Condition: Biotin deficiency , Overall rating 2.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","Never worked for me, I do wonder if they actually work for anyone? "
 5/12/2022 , Fred |  Age: 35-44 |   On supplement for 1 to 6 months |   ," Condition: Biotin deficiency , Overall rating 2.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",Been taking the suggested amount for almost 12 weeks now and Tbh have made no difference not the slightest 
 5/11/2022 , Amelia |  Age: 45-54 |   On supplement for less than 1 month |   ," Condition: Biotin deficiency , Overall rating 2.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",After research now I see why they made no difference to me
 2/18/2022 , Char27 |  Age: 19-24 |   On supplement for less than 1 month |   ," Condition: Brittle nails , Overall rating 2.3 ,Effectiveness,Ease of Use,Satisfaction,Report this post",People should always consult a doctor first. After taking only one dose I felt like I was having a heart attack. Twice. I've never had heart issues. The side effects lasted way longer than anticipated as well. Scariest day of my life. Now I'm skeptical of every vitamin. You should be too.
 2/1/2022 , MeanOldLady |  Age: 65-74 |   On supplement for 2 to less than 5 years |   ," Condition: Other , Overall rating 2.3 ,Effectiveness,Ease of Use,Satisfaction,Report this post","My hair started thinning and then it was obvious that I was starting to lose a lot of hair. Read up on Biotin supplement and decided to try it.  Been taking Biotin for a couple of years now and there is 
no significant gain, my hair continues to thin and I've lost more hair."
 1/14/2022 , SupplementLife |  Age: 25-34 |   On supplement for 2 to less than 5 years |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I started supplementing Biotin 2-3 years ago after I noticed that my frontal hair was thinning. My hairline was always high but with the thinning it looked to be slowly receeding also. With hair loss being a major problem in my family and also seeing how my two older brothers were slowly losing their hair I began to do a little research. 
I decided against taking prescription medication and after browsing and reading I chose a supplement I wanted to try:  Biotin. I started taking 5000 mcg of Bio,tin daily and within a week saw results. My hair was starting to thicken and fill in nicely. I was even amazed that all these little baby hairs were sprouting along my hairline and bangs. I was literally growing a new hairline back. All these new hairs started sprouting along my hairline and my bangs were thicker which blew my mind. My nails were growing like weeds and were a LOT thicker. Also I noticed my skin was changing for the better. The dry spots on my face were gone and I even developed a glow from my skin. I was beyond satisfied with this product. 
P.S. I have tried Biotin tablets, powder capsules and gel caps and have found the tablets and powder capsules to work the best. Bought the tiny gel cap form last time and even at 10,000 mcg a day they don't work half as good as the other kinds. Just IME"
 1/12/2022 , Claire |  Age: 65-74 |   On supplement for 6 months to less than 1 year |   ," Condition: Brittle nails , Overall rating 2.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I'm pretty healthy for a 71-year-old woman.  I take a few supplements for the aches and pains and other issues of old age.  I've been on levoxyl for hypothyroidism for 33 years, and I get my thyroid tested every year with my annual labs.  I was taking a B-Complex pill (OTC) on recommendation of my doctor due to pain for several years.  Recently, I started taking a collagen pill (OTC) to ward off wrinkles.  Three months ago I had my labs drawn and my levoxyl was increased and I was told to get it, rechecked in three months, which I did.  I got a call from my doctor saying my thyroid was still off, and are you taking any biotin?  So I checked.  My B-Complex pill has 1000% above necessary in biotin.  So I told the doctor this and she said to stop the biotin and get the thyroid rechecked in 2 weeks.  After we hung up, I checked all my supplements and noticed that the collagen pill has biotin also, 10,000% more than necessary.  So I have stopped both.  I wasn't taking it for ""brittle nails,"" I just needed to choose one of the ailments listed.  I only took it because it was in other pills."
 11/30/2021 , Hairful  Tablet |  Age: 19-24 |   On supplement for 1 to less than 2 years |   ," Condition: Biotin deficiency , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","HairFul healthy supplement for hair fall and hairgrowth. Hair loss and thinning can have many causes—stress is a big one, for example—but there are vitamins and minerals you can take each morning that can support healthy hair growth. A supplement with biotin, acid, all the vitamins, or any combination of the above can help your hair grow back longer and stronger in as little as a few weeks. The key to getting the best results? Be consistent with the supplement and commit to them daily for at lea,st 3(Three) months. Not all hair growth supplements are vegan-friendly, either—so we included options below for all dietary needs."
 11/15/2021 , sonya |  Age: 45-54 |   On supplement for less than 1 month |   ," Condition: Other , Overall rating 1.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","im taking the 10,000mg and just starting out. trying for healthy hair and skin. my nails grow long but tends to break after a med lenght. hopefully this will make them strong i will repost after a month wish me luck. gave low stars for now till after a month to come back and rate again"
 7/9/2021 , Old Lady |  Age: 65-74 |   On supplement for less than 1 month |   ," Condition: Brittle nails , Overall rating 2.3 ,Effectiveness,Ease of Use,Satisfaction,Report this post","My hairdresser recommended Biotin for my thinning hair. I started taking 5000 mcg daily.  I’ve only been taking it for a few weeks but have not seen a change in my hair. I HAVE seen a change in my awareness ( brain fog).  I barely missed causing two major automobile accidents, took linens off the bed to wash and left a pillowcase on one of the pillows, went for a walk and left my garage door open.  I cannot recall anything before the two close calls in my car. I have never done any of these thin,gs before. I am stopping the Biotin and hope things get better. "
 6/19/2021 ,    On supplement for 6 months to less than 1 year |   ," Condition: Other , Overall rating 3.3 ,Effectiveness,Ease of Use,Satisfaction,Report this post",
 7/14/2020 , Em |  Age: 13-18 |   On supplement for 1 to 6 months |   ," Condition: Other , Overall rating 3.7 ,Effectiveness,Ease of Use,Satisfaction,Report this post",Biotin for hair I haven’t noticed major differences but my eyelashes have grown loadssss And my hair health has improved a little along with nails.
 6/24/2020 , dudeandhiswife |  Age: 25-34 |   On supplement for 6 months to less than 1 year |   ," Condition: Other , Overall rating 4.3 ,Effectiveness,Ease of Use,Satisfaction,Report this post","Started taking this after starting to lose my hair and confidence and the wife started taking it with me. Nails and hair definitely nicer. More noticeably hers, she has a full mane of long gorgeous hair now like a lion. The real benefit my wife and I received is dramatically increased sex drive for both of us. In turn helped my confidence and hers as she was never very sexually active. We both take Biotin every day. "
 11/22/2019 , Lynn |  Age: 45-54 |   On supplement for 1 to less than 2 years |   ," Condition: Other , Overall rating 2.7 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I have taken low doses of Biotin for about 20 years; about 1,000/2,000 without any problems and great results.  After taking Wellbutrin for abouta year, I noticed gradual hair loss.  I stopped taking it and felt desperate to regain my thick hair.  I choose to buy Biotin 10,000 to speed up the process; big mistake!!!  Within a few months,  my scalp became itchy.  I sought treatment and help, but no doctor could determined be the cause.  I was told to use dandruff shampoo, which never helped.  A f,ew months later, I began having itchy patches on my body; mainly my elbows, knees, low back, outter thighs and my stomach.  Again, I asked a few doctors for help and was told that I have Ecezma for the first time in my life.  I used the steroid cream without much relief, so began feeling hopeless and depressed.  The itching is so bad that I rarely get a good nights sleep.      Long story short, I threw out all of my vitamins, thinking it had to be an allergic reaction to one of them.  The only one I kept was the biotin 10,000.  As my itching didn’t subside, I finally realized that it must be the biotin.  I did some on-line research and found that doses over 2,500 can cause skin eruptions, itchy rash and scalp!!!!  I have stopped taking it, and the it hi g is slowly becoming less severe.  I am truly hoping that gmo has only get better, as I have been determined to find the cause if my itching.  I have never had this issue before, and pray that I have found the reason.  So far, so good!!!  I can see that they don’t even list a Biotin 10,000 below, so picked Natures Bounty 5,000, so x2 a day!!!?? ugh!!!    I am just hoping that I can spare someone the anguish that I have endured.  More is definitely not better, and just because Amazon sells it doesn’t mean it’s safe."
 11/21/2019 , Missykay |  Age: 45-54 |   On supplement for less than 1 month |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I had already lost nearly 1/2 of my hair over several months. I started taking10,000 mcg a day (I had already been taking the super B complex but it only has 500 MCG).  Within two weeks, my hair stopped falling out!  I was really shocked how well and how quickly it worked.  I think you have to take high doses for it to be effective. It's water-soluble so they shouldn't hurt you but always double check with your doctor and pharmacist  "
 10/24/2019 , Biotin ---Plus! |  Age: 55-64 |   On supplement for 6 months to less than 1 year |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I have suffered thinning hair for many years. I have used Rogaine ever since it came out, but it did not thicken my hair much. I began taking Biotin about 6 months ago. For the first 3 months, I felt my hair was thickening, but only slightly. I figured I needed additional help so I began taking some of the supplements listed in the famous Bargello's Vitamin Regimen (Google it). I have taken a multivitamin for many years along with a Vitamin D supplement, so I added MSM, Evening Primrose, and Fla,xseed Oil to my regimen. (No real science to my choice of products; I just went to Natural Grocers and stopped buying after my total reached $40.) I also added Vitamin B-12, based on some online reading. I have not added iron although some sources suggest it might be helpful. I have had no side effects at all, except -- about a month after adding the supplements, I experienced the worst shed of my life. My hair line receded (even more) and my hair thinned all over my scalp. With some careful teasing, artful arranging of the hair, generous application of Toppik, and lots of hairspray to keep everything in place, I was able to camouflage the shed enough to ride things out. It took about a month of misery and self-consciousness, but now my hair is growing in thicker than it has since I was a youngster! My hairline is filling in and there are no thin spots anywhere on my scalp, and the hair that is coming in is not the thin, fragile hair you get after your hair follicles have practically shut down, but robust medium-coarse hair and with no shedding to speak of -- I see only about 5 hairs in the sink after I comb my hair and arrange it, when I used to see at least 20-30. Honestly, it's as if the terrible hair shed I went through earlier was just this great new hair pushing the old stuff out of my follicles! It is SO GREAT having hair again! Try it for yourself!  "
 6/11/2019 ,  Age: 25-34 |   On supplement for less than 1 month |   ," Condition: Other , Overall rating 4.3 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I have using Nutrifactor Biotin Plus 2500mcg for almost a month now. However, i don't know when is the best time to take it? i take it in between my breakfast. Can anyone tell me when is the best time to take it and is it ok to take it with breakfast?  Thanks"
 5/14/2019 , biotine |  Age: 55-64 |   On supplement for 2 to less than 5 years |   ," Condition: Other , Overall rating 2.7 ,Effectiveness,Ease of Use,Satisfaction,Report this post","its been almost 2 years im taking biotine , and still have some hair loss.....shoud i increase the daily dosage......thank you, linda domonte"
 8/26/2018 ,  Age: 75 or over |   On supplement for 1 to 6 months |   ," Condition: Brittle nails , Overall rating 1.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I developed an extremely itchy scalp.  The itch and rash on the nape of my neck is almost unbearable and hasn't gone away although I stopped taking the pills almost 3 weeks ago.  It was Nature's Bounty Hair, Skin "
 8/11/2018 , Flutehappy  |  Age: 55-64 |   On supplement for 1 to 6 months |   ," Condition: Brittle nails , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I started out with a dosage of 5,000 mcg but changed to 10,000 on my second bottle, it took 5 months before my nails became strong. This is first  time my life my nails have been healthy! IÃ¢Â?Â?m 58 and have had no side effects."
 7/27/2018 ,  Age: 19-24 |   On supplement for 2 to less than 5 years |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","In 2011 I got the Mirena IUD. I had it in for 4 years with no problems until one day my hair started coming out in chunks causing huge bald spots. I was cramping and dizzy all the time, so I decided to have the IUD removed. Weeks passed and everything went back to normal except my hair. Over half my hair was gone and it wasn't coming back. I started taking biotin in February of 2016 and still take it everyday! My hair came back and just in time for my wedding day back in March of 2017. I swear b,y biotin and I recommend it to anyone and everyone! "
 5/24/2018 ,  Age: 35-44 |   On supplement for less than 1 month |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","Started taking because I had increased hair breakage. Breakage has been a problem all my life, but it had started to get very bad. I started taking 10000 MCG daily and within a month breakage is barely noticeable. I haven't had this little breakage EVER. I am using NeoCell Biotin Bursts. One chew per day."
 4/29/2018 , Biotin ---Plus! |  Age: 55-64 |   On supplement for 1 to less than 2 years |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I came back to add some more information about my experience with biotin and to urge all of you with thinning hair to try this treatment. It has been a life-changer for me. I no longer worry about whether my hair is arranged properly to cover all the balding areas, I no longer worry about going out in the wind or the rain or the sun -- all of which can reveal thinning hair. And, I look so much younger with a full head of hair. It really seems like a miracle, because now I have completely normall,y thick hair after having had badly thinning hair for approximately 45 years! Here is the additional information I wanted to share: (1) As I have continued to use biotin, my hair has continued to thicken and it just never seems to shed any more. (2) I use whatever kind of biotin is available, not necessarily a particular brand name. Lately, I have been buying ""Nature's Bounty"" from Sam's Club. (3) I take one (1) 10,000 mcg gelcap-type dose per day. (4) You must tell your doctor you are taking biotin -- make sure the information is entered on your chart, because the use of biotin can affect the results of your blood tests. I had told my doctor I was taking biotin and it was on my chart, but when I went in for my most recent physical and lab tests, the doctor called back and said my thyroid function looked a little off, which he said might have been due to the biotin, and he had me stay off the biotin for four (4) days and then come back in and take the test again (which was fine). So, do tell your doctor you are taking biotin, and lay off the biotin for several days before you go in for lab tests so you don't have to repeat the test the way I did. Anyway, I do urge you to try this stuff -- it truly is a miracle and has made me feel so much more confident about my appearance!"
 4/17/2018 ,  Age: 19-24 |     ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","Honestly as a young girl I always struggled with my hair growing, nails, everything, also, had a stage of alopecia at a time, anyways taking 10000 mg of biotin a day has really improved my hair my nails eyelashes everything I didn't even grow armpit hair before taking it and now I've had to shave that area which I never did before I really recommend it! "
 10/7/2017 , madhatter |  Age: 35-44 |   On supplement for less than 1 month |   ," Condition: Brittle nails , Overall rating 1.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I started taking the 2500 mcg for brittle nails 2 days ago. I have since had an upset stomach, itchy skin, and painful joints. I only took it Wednesday night and Thursday night it is now Friday. I will not be taking it again and it's going in the trash. "
 8/25/2017 ,  Age: 75 or over |   On supplement for 2 to less than 5 years |   ," Condition: Other , Overall rating 2.3 ,Effectiveness,Ease of Use,Satisfaction,Report this post",I have been taking Biotin for a few years and I seem to have lost hair.
 4/7/2017 , laine |  Age: 65-74 |   On supplement for 1 to less than 2 years |   ," Condition: Brittle nails , Overall rating 3.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",I have developed a skin rash on my arms.
 4/2/2017 , EchoCody |  Age: 65-74 |   On supplement for 6 months to less than 1 year |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","Started taking Biotin orally 5K mgs daily. Noticed stronger nails, less hair loss, restored texture with less thinning of the hair shaft, no difference in hair color retention, mild facial skin bumps near the chin. Not sure there is a correlation between skin bumps "
 3/19/2017 , msb |  Age: 75 or over |   On supplement for 5 to less than 10 years |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",My hair fell out after treatment for cancer.  My beautician recommend Biotin. My hair is back to normal (I was a redhead) But now with a (little) grey. Give it a try!!! 
 3/14/2017 , helpinghair |  Age: 19-24 |   On supplement for 1 to 6 months |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",Started taking biotin because I heard it was good for hair loss. It has worked great! My hair is definitely stronger and thicker. Found a great resource here: https://biotinhairgrowth.ca/blog/benefits-of-biotin-supplement.html which shows some other benifits.
 2/28/2017 , hillro |  Age: 35-44 |   On supplement for 2 to less than 5 years |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I started taking this after having Lap Band. My once thick hair was falling out and thinning badly. I started taking biotin slowly at first but I now take 10,000mcg a day. My hair, although not as thick as it was when I was in my 20's is now very thick. My hairdresser even remarked on how thick it was. I would definitely recommend. I use either Nature's made or Nature's Bounty interchangeably. "
 2/4/2017 , patty |  Age: 65-74 |   On supplement for 2 to less than 5 years |   ," Condition: Other , Overall rating 2.3 ,Effectiveness,Ease of Use,Satisfaction,Report this post",can't see any difference in my hair 
 1/17/2017 , sjhatmiflaol.com |  Age: 65-74 |   On supplement for 1 to 6 months |   ," Condition: Brittle nails , Overall rating 3.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",taking too much causes painful skin rash and interferes with Thyroid medication. It seems to enhance metabolism.
 12/16/2016 , Devche |  Age: 35-44 |   On supplement for 1 to 6 months |   ," Condition: Other , Overall rating 4.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I take 10,000 mcg since November 5th due brittle dry hair. My hair was down my back but the top and sides were just little pieces of hair. Noticeable thin to bald spots. I've seen great results so far. I drink lots of water and my hair breakage has stopped. The shedding has decreased significantly according to my hair stylist. Slow process but I do see results."
 11/18/2016 , Caryl |  Age: 65-74 |   On supplement for 1 to 6 months |   ," Condition: Other , Overall rating 4.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I am taking Biotin 10,000 mcg, one per day. I'm concerned that taking it with four other medications may have problems. They are celexa, buspirone, metformin and clonazepam"
 11/18/2016 ,  Age: 55-64 |   On supplement for 6 months to less than 1 year |   ," Condition: Diabetic neuropathy , Overall rating 2.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",
 10/26/2016 ,  Age: 35-44 |   On supplement for less than 1 month |   ," Condition: Other , Overall rating 4.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",I have been taken Biotin 50000mcg for about one month and my hair seems grow faster and there are less hair loss after i shampoo my hair
 10/25/2016 ,      ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I find it has helped me with the loss of my hair, the strength on my nails, my diabetes and my naturopathy.  .tv"
 10/23/2016 , Hairman |  Age: 55-64 |   On supplement for 1 to 6 months |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","After my heart attack and bypass, most of the hair on my arms, chest, and fingers took a vacation. I started taking 10,000mcg of Biotin, 2x daily. Note, I also take 500mg L-Arginine 2x daily. Withing 3 weeks hair started growing on my arms, chest, and some on my knuckles. A little is growing on the top of my head too! My doctor was even  surprised when I had my yearly. So, for me its working GREAT! YMMV. "
 10/5/2016 , Biotin |  Age: 65-74 |   On supplement for 6 months to less than 1 year |   ," Condition: Biotin deficiency , Overall rating 4.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",I am very satisfied with Biotin 5000. My hair is not coming out as much.  A course we always will have some hair loss. 
 8/18/2016 , colly |  Age: 45-54 |     ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",My sister has had an adverse reaction to antibiotics and has loss hair on numerous occasions. In some cases almost to near baldness. Biotin has always helped in a big way.  
 8/17/2016 , 2BHealthy |  Age: 45-54 |   On supplement for 1 to 6 months |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","Does it work overnight and produce miraculously lush, thick hair?  No.  But as a woman with thinning hair, a receding hairline in places and hair frankly just falling out rapidly due to meds I'm on... I'm very pleased with the turnaround.  I saw thin hairs begin to grow at my temples first, and eventually noticed my 'part' was less noticeable.  It's also nice to be able to want to wash my hair again and not feel like I'm accidentally removing all my hair.  My nails are a bit stronger too, althou,gh not a huge improvement, just a slight extra perk.  What I wasn't even aware is I'm borderline diabetic and perhaps this will help with that too.  Oh, I did try to stop taking it (i.e. forgot to repurchase when the bottle ran out) and saw the hair problems come back -- so I won't be stopping this vitamin again.  By the way, I chose Natrol 10,000mcg after doing research (which I see isn't on the list so I had to select their 1000mcg here).  From what I read it's not something you can really overdo.  It's also only 1x per day and a smooth round pill easy to get down."
 8/2/2016 , ASinBuffalo |  Age: 35-44 |   On supplement for 5 to less than 10 years |   ," Condition: Other , Overall rating 4.7 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I lost quite a bit of hair (eyelashes too) after having twins.  This was in 2011.  It is now 2016 and everything is back and then some! I have been taking 5,000 mcg of Biotin a day for 5 years. Anything more than 5,000 mcg upsets my stomach (I tried 10,000 and it was awful).  I take it in the morning after breakfast. "
 7/31/2016 , Susan L |  Age: 65-74 |   On supplement for 1 to less than 2 years |   ," Condition: Other , Overall rating 4.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I was upset by my receding hairline and thinning hair. I take 5000 mg Biotin daily on the advice of my dermatologist. It has helped a lot - it is subtle, but the hair is growing in slowly and and it looks fuller so I am very happy with this result. A good haircut to cover the front helps too."
 7/18/2016 ,  Age: 55-64 |   On supplement for 6 months to less than 1 year |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","My only complaint, it takes several months to see results. Now my hair is coming in like crazy!!! So easy!!"
 7/16/2016 , elph |  Age: 35-44 |   On supplement for less than 1 month |   ," Condition: Other , Overall rating 4.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","There is no question that high dosages of biotin work to strengthen hair and make it grow in more bountifully. It is also very nice to your skin and nails. However, it has an estrogenic effect to watch out for in high doses. I'm perimenopausal and got my first painful period in months after using a daily high dose of biotin for a couple of weeks."
 7/10/2016 , Becky |  Age: 55-64 |   On supplement for 1 to 6 months |   ," Condition: Other , Overall rating 4.3 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I have had alopecia for 50 years on and off. I've had no treatment in 18 years, but when the condition returned I saw biotin advertised. I have been using it now for 10 weeks and the results are promising. Lots of new growth but not everywhere yet. No side effects."
 7/3/2016 , Amy  |  Age: 35-44 |   On supplement for 1 to 6 months |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I am astonished how well this product works! My hair was breaking off in my brush and every time I washed out.  Within a month of taking biotin,  my hair no longer breaks off and it is healthy and shiny like never before!  My hair has grown about three inches so far and my nails are strong and healthy as well!  Would highly recommend! "
 4/11/2016 , dontwannabebald |  Age: 45-54 |   On supplement for 1 to 6 months |   ," Condition: Androgenic alopecia , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","My hair was mildly thinning and I have baldness in my family. I started 10,000 mcg (""super biotin"") recommended by my hair doctor.  Within the first few months, my hair was feeling thicker and stronger and when I returned to my hair doctor, my hair check measurements had gone up 10% in one area, 16% in another. I can already feel the difference, but I know it will take a few more months for me to see it in the mirror. I didn't have any unwanted effects, but I did notice my nails are quite a bit ,stronger--which is cool, because I often use them as a small screw driver when im in a pinch!"
 4/5/2016 , hairtoday |  Age: 55-64 |   On supplement for 1 to less than 2 years |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",
 4/5/2016 ,  Age: 45-54 |   On supplement for 10 years or more |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",
 3/21/2016 , donnarob0711 |  Age: 55-64 |   On supplement for less than 1 month |   ," Condition: Brittle nails , Overall rating 4.7 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I wanted to find something to fix my nails.  They were constantly breaking and I just cut them off.  Someone mentioned Biotin and I have only been taking it for about 3 weeks.  My nails no longer break and as an extra bonus, my hair is super soft!  I seldom take as many as recommended on the bottle and still have these excellent results. "
 3/20/2016 ,  Age: 65-74 |   On supplement for 1 to less than 2 years |   ," Condition: Brittle nails , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",my dermatalogist suggested it and I take 2 tabs daily and my nails are no longer soft and tender.  My hair feels better as well.
