dates,details,scores,reviews
 5/7/2016 , Reddocer |  Age: 55-64 |     ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",3mg every night and now I sleep like a baby.  When I wakeup I don't feel out of sorts like I did when I took a sleeping pill
 5/6/2016 ,  Age: 75 or over |   On supplement for 1 to less than 2 years |   ," Condition: Other , Overall rating 1.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",Atrial fibrillation
 4/6/2016 , Nina |  Age: 45-54 |   On supplement for 2 to less than 5 years |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",
 2/11/2016 , None |  Age: 55-64 |   On supplement for 1 to 6 months |   ," Condition: Other , Overall rating 2.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",I see no difference in my sleep 
 12/25/2015 , melatonin |  Age: 55-64 |   On supplement for less than 1 month |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",wonderfull
 12/18/2015 ,  Age: 75 or over |   On supplement for less than 1 month |   ," Condition: Other , Overall rating 3.7 ,Effectiveness,Ease of Use,Satisfaction,Report this post",ihave loose dark stool
 11/29/2015 , Hey you |    On supplement for less than 1 month |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",
 11/5/2015 ,  Age: 45-54 |   On supplement for less than 1 month |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",Very good sleep aid
 10/1/2015 , Qqqq |  Age: 25-34 |   On supplement for less than 1 month |   ," Condition: Sleep , Overall rating 2.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",It makes me even harder to fall asleep.
 9/12/2015 ,  Age: 55-64 |   On supplement for 2 to less than 5 years |   ," Condition: Other , Overall rating 4.7 ,Effectiveness,Ease of Use,Satisfaction,Report this post",
 1/29/2017 ,  Age: 65-74 |   On supplement for 1 to 6 months |   ," Condition:  , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",
 1/28/2017 , mischa |  Age: 55-64 |   On supplement for less than 1 month |   ," Condition: Sleep , Overall rating 1.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",I don't know why but I hav tried several times- I always feel groggy and fuzzy the next day and I don't even sleep any better. 
 1/28/2017 , Anthony08 |  Age: 7-12 |   On supplement for 2 to less than 5 years |   ," Condition: Other , Overall rating 3.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",
 1/28/2017 , Adrianna16 |  Age: 7-12 |   On supplement for 2 to less than 5 years |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",
 11/25/2016 , Yaoza |  Age: 45-54 |   On supplement for 2 to less than 5 years |   ," Condition: Sleep , Overall rating 4.3 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I can't fall asleep unless I take a bite of the pill. Only need small amount though, works if taken half an hour before going to bed. Wake up too early sometimes but it's worth it. I live where there's total darkness for many months. No way I can do without melatonin."
 11/24/2016 , Kay |  Age: 65-74 |   On supplement for 2 to less than 5 years |   ," Condition: Other , Overall rating 4.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",In a few short words: NIGHTMARES. I and several people I've talked with get Very Disturbing dream. 
 11/22/2016 , Dic |  Age: 75 or over |   On supplement for 1 to 6 months |   ," Condition:  , Overall rating 3.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",Satisfied
 11/1/2016 , sparerib |  Age: 65-74 |   On supplement for less than 1 month |   ," Condition: Sleep , Overall rating 1.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I was taking Schiff Melatonin Ultra f, 3 mgs of melatonin, 1/day for about 3 weeks.  I first noticed arrhythmias, both tachychardias and atrial fib.  I was worried.  Then after 3 weeks of taking it, I got very dizzy, lasting all day long.  I also had bad nausea.  I looked up side effects, and found that all three can be side effects of melatonin.  I thought I was dying (I'm 70), but now that I stopped melatonin, I feel great.  I'm writing this because I appreciate so much the people who already ,reported these effects, because it helped me zero in on the cause of my problems."
 10/13/2016 , Billy Conway |  Age: 65-74 |   On supplement for 6 months to less than 1 year |   ," Condition:  , Overall rating 4.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","very effective when i use it. i feel it is safer to use melatonin than prescription sleep aids. i don't know if there any side effective with long time use, but so far i have not experienced any. I can't find product name. it is Natrol desulable and i take three 5mg when needed. "
 9/17/2016 ,  Age: 65-74 |   On supplement for less than 1 month |   ," Condition: Sleep , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",took too much the first night.  will try a half pill
 9/5/2016 , linda |  Age: 55-64 |   On supplement for less than 1 month |   ," Condition: Sleep , Overall rating 3.7 ,Effectiveness,Ease of Use,Satisfaction,Report this post",blood pressure increase upon waking up  headache  
 8/12/2016 , Zegota |  Age: 65-74 |   On supplement for 1 to 6 months |   ," Condition: Sleep , Overall rating 4.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","Start with a low dosage at least below 5 mg I have discovered that I could have used a much lower dosage.  My own experience is above average and was successful in becoming sleepy, but if your mind is active it does not slow down your cognitive abilities.  It will make your eyelids heavy quickly and safely, no side effect with me.  The drowsiness will gradually disappear and will be totally clear in the morning.  Again my recommendation would be to start with a low dose, and use only for a coupl,e of weeks and then take some time off.  It is a natural ingredient and restores your own body resources.  Good luck and Good night.  1776    "
 8/4/2016 , m00s3 |  Age: 65-74 |   On supplement for less than 1 month |   ," Condition: Other , Overall rating 3.7 ,Effectiveness,Ease of Use,Satisfaction,Report this post",Somewhat effective.  Has an after wake up feeling of unfresh 
 6/3/2016 , lilith60 |  Age: 55-64 |   On supplement for less than 1 month |   ," Condition:  , Overall rating 4.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",My days and nights are confused. I have developed severe insomnia and have a terrible time trying to get to sleep and once I get to sleep I wake easily. Not more than 4-5 hrs a night. Just started treatment and need increases to get desired effect.
 5/31/2016 ,  Age: 25-34 |     ," Condition: Sleep , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",
 5/7/2016 , Reddocer |  Age: 55-64 |     ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",3mg every night and now I sleep like a baby.  When I wakeup I don't feel out of sorts like I did when I took a sleeping pill
 5/6/2016 ,  Age: 75 or over |   On supplement for 1 to less than 2 years |   ," Condition: Other , Overall rating 1.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",Atrial fibrillation
 4/19/2016 ,  Age: 25-34 |   On supplement for 6 months to less than 1 year |   ," Condition: Sleep , Overall rating 3.3 ,Effectiveness,Ease of Use,Satisfaction,Report this post","Night shift healthcare worker, started taking 7.5 MG of melatonin rougly 8 months, no side effects at first. Then after a few months noticed an extreme drop in libido and then little to no interest in physical intimacy, which was concerning to me given my age and physical activeness. Stopped taking last week, not worth it anymore"
 4/6/2016 , Nina |  Age: 45-54 |   On supplement for 2 to less than 5 years |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",
 4/4/2016 ,      ," Condition: Sleep , Overall rating 3.3 ,Effectiveness,Ease of Use,Satisfaction,Report this post","Note:  Stars given only because required.  So chose 3 stars.  I haven't yet begun to use the supplement. Still doing research. Would people commenting please indicate the dosage taken, for how long, and what other medications, including over the counter medications are being used. Your comments are valuable only if this kind of information is included.  Thank you. "
 10/11/2014 , Clafuti |  Age: 65-74 |   On supplement for less than 1 month |   ," Condition: Circadian rhythm sleep disorders , Overall rating 4.7 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I'm 70 yrs old and, in the past, swimming a km would guarantee a very good sleep. Lately, I found myself sleeping earlier and waking much too early. Two days with the Trader J. chew-able mint pill have convinced me of its potency and efficacy, to my surprise. "
 9/9/2014 , gj |  Age: 65-74 |   On supplement for less than 1 month |   ," Condition: Sleep , Overall rating 3.7 ,Effectiveness,Ease of Use,Satisfaction,Report this post",I use a CPAP machine and it makes it easier for me to fall asleep. Otherwise I can be up for hours before falling asleep.
 8/28/2014 , Sam |  Age: 25-34 |   On supplement for less than 1 month |   ," Condition: Shift work disorder , Overall rating 4.3 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I started taking Melatonin to help me regulate my sleep cycle. I work 2nd/3rd shift during the week and go to school full time during the day. I take a 1 MG dose peppermint flavored dissolvable tablet. It is very effective and I generally fall asleep within half an hour to twenty minutes. The only problem I have is the side effects I seem to be feeling all of them. Daytime drowsiness to the point of nearly falling asleep in class,stomach cramps and headaches. I am lowering my dose to 0.5 in hope,s of alleviating the symptoms or I will have to stop taking it. So in short the medication is effective but the side effects might out way any benefits you may receive. I would recommend starting with 0.5 dosage and going up from there. Especially if you are like me and you normally don't take any medication the side effects might hit you harder then some."
 6/29/2014 ,  Age: 75 or over |   On supplement for 1 to 6 months |   ," Condition: Sleep , Overall rating 4.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",
 5/29/2014 ,  Age: 65-74 |   On supplement for 1 to 6 months |   ," Condition: Other , Overall rating 4.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",
 5/29/2014 , trainfan42aol.com |  Age: 65-74 |   On supplement for less than 1 month |   ," Condition:  , Overall rating 3.7 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I have taken 9 mg & it has helped me have a better sleep, now I think my body is used to the melatonin & it is not working."
 5/21/2014 , harden92 |  Age: 35-44 |   On supplement for 6 months to less than 1 year |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I have always been a light sleeper, and wake at the slightest noise, etc.  Taking Melatonin 2 hours before bedtime has helped me fall asleep, and actually stay asleep during the night."
 5/20/2014 , wiseone |  Age: 65-74 |   On supplement for 5 to less than 10 years |   ," Condition: Sleep , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I sleep wonderfully every night using this supplement. I like the fact that it isn't a drug, is inexpensive and easy to find right in my grocer's vitamin section. I do wake a couple of times during the night to urinate--always have, but go right back to sleep, and I enjoy marvelous dreams!I recommend Melatonin to all my friends who complain of lack of sleep."
 5/14/2014 , Hoolabaloo |  Age: 35-44 |   On supplement for 1 to 6 months |   ," Condition:  , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",I used the Zip Melts (GNC 5000 is actually 5mg of sublingual Melatonin) for adjusting to mids shift and assisting with jet lag - taking on zipmelt just prior to when I need to be sleeping is perfect. No hangover the next day.
 5/11/2014 , shop |  Age: 45-54 |   On supplement for less than 1 month |   ," Condition: Other , Overall rating 4.3 ,Effectiveness,Ease of Use,Satisfaction,Report this post",it has really helped me with my hot flashes. it also helps me to rest better in the evening.
 4/28/2014 , John shepherd |  Age: 35-44 |   On supplement for 1 to 6 months |   ," Condition: Other , Overall rating 3.7 ,Effectiveness,Ease of Use,Satisfaction,Report this post","Benzodiazepines cause tolerance and physical dependence within two to four weeks, and, upon cessation acute withdrawal traditionally requires tapered management. Additionally in some long term users experience withdrawal syndrome. Withdrawal syndrome can last many months and is typified by a major depressive episode, agitation, and lack of ability to get to sleep. This is a serious side effect which needs careful monitoring.  ol  For this reason Benzodiazepines need to be used with extreme cauti,on and for very short periods.    Melatonin is effective for sleep disturbances that are not caused by an over active nervous system, such is in the case of Benzodiazepine withdrawal. It appears virtually ineffective during acute (tapered) withdrawal, although somewhat helpful during withdrawal syndrome. For this reason it's main purpose during withdrawal is an adjunct with other therapies.    To my knowledge Melatonin does not effect the calcium channels that have been disturbed by benzodiazepine usage and this is why, in my view, Melatonin is not very effective on it's own as an Anxiolytic (antianxiety agent.)    My experience is that SSRI's are not very effective for use for withdrawal, however responses to SSRI's are individual dependant.    It is essential to manage benzodiazepine withdrawal and protracted withdrawal syndrome using a variety of methods including CBT, but most effectively, using an alternative Anxiolytic, the most effective of which is Phenibut (CALMEXA).    Phenibut Calmexa is GABA with a phenyl ring that allows it to pass the blood brain barrier, therefore replacing the GABA depleted by benzodiazepine dependence. With medical management it can safely and entirely replace the use of Benzodiazepines, causing an alternative dependence both easier to taper with less risk of protracted withdrawal syndrome.     Melatonin used together with Phenibut is very effective for inducing sleep, establishing and maintaining a sleeping pattern.    "
 3/10/2014 , JRWK |  Age: 25-34 |   On supplement for 6 months to less than 1 year |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I don't agree with everything that is written here but in my experience if taken correctly and it should only be used with a doctors authorization. It is used for sleeping. And just like anything else, Too much of anything is not good for you. My son has ADHD and has taken it off and on for the last 3 years. "
 2/25/2014 , julie |  Age: 19-24 |   On supplement for less than 1 month |   ," Condition: Other , Overall rating 4.3 ,Effectiveness,Ease of Use,Satisfaction,Report this post",good
 2/6/2014 ,  Age: 45-54 |   On supplement for 2 to less than 5 years |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","there is no way my adhd son would go to sleep without it. Not all brands are the same however, my son prefers trader joe's brand of melatonin. He says he feels well rested when he awakes instead of hungover. I have to agree. All of the other brands of melatonin we have tried, seemed to have the opposite effect. "
 1/31/2014 , macdee |  Age: 65-74 |   On supplement for 2 to less than 5 years |   ," Condition: Other , Overall rating 3.7 ,Effectiveness,Ease of Use,Satisfaction,Report this post","Melatonin helps me fall asleeop, but I don't stay asleep through the night."
 1/5/2014 ,  Age: 7-12 |   On supplement for 2 to less than 5 years |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",Daughter has been taking 3-6 mg. 1 hr before bedtime since age 5.  She falls asleep quickly and stays asleep as she never had been able to do before.  Easy and pleasant citrus lozenge dissolves in her mouth--she actually chews it and it's just as effective for her.
 1/2/2014 ,  Age: 35-44 |   On supplement for less than 1 month |   ," Condition: Sleep , Overall rating 3.7 ,Effectiveness,Ease of Use,Satisfaction,Report this post",
 12/16/2013 , CurmiesWife |  Age: 55-64 |   On supplement for 2 to less than 5 years |   ," Condition: Other , Overall rating 4.7 ,Effectiveness,Ease of Use,Satisfaction,Report this post","Since a child, I have had insomnia. I have taken presription sleep aids for years, some of them needing increasing doses. Using Melatonin enables me to stay at a low dose of my other medication, never needing to increase it. My brother and sister take it alone and find it very effective. For me, ordering the CAPSULES works MUCH better than the drug store tablets ( which didn't work at all for me)."
 12/3/2013 , Advanced Melatonin Calm Sleep |  Age: 19-24 |   On supplement for 1 to 6 months |   ," Condition: Other , Overall rating 3.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I try not to take it too frequently for precaution; however, I do try to take maybe 3-5 times a week at best. "
 11/20/2013 , melatonine |  Age: 45-54 |   On supplement for less than 1 month |   ," Condition: Other , Overall rating 4.3 ,Effectiveness,Ease of Use,Satisfaction,Report this post",
 10/28/2013 ,  Age: 35-44 |   On supplement for less than 1 month |   ," Condition: Other , Overall rating 4.3 ,Effectiveness,Ease of Use,Satisfaction,Report this post",it fixed my jetlag since I do travel a lot. 
 9/30/2013 , MayGreenEyes |  Age: 13-18 |   On supplement for less than 1 month |   ," Condition: Sleep , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","Within 10 minutes of taking the pill, I feel drowsy and sleepy! I haven't been able to fall asleep for MONTHS. I'm glad my dad got me this. It works wonderfully and I fall asleep feeling refreshed in the morning. I'm not quite sure what brand it was exactly, but I know it's Melatonin that worked."
 9/19/2013 , Agostinho Ruiz |  Age: 65-74 |   On supplement for 10 years or more |   ," Condition: Cluster headache , Overall rating 4.3 ,Effectiveness,Ease of Use,Satisfaction,Report this post",sleep beter
 9/2/2013 , jbolli09 |  Age: 25-34 |   On supplement for 2 to less than 5 years |   ," Condition: Shift work disorder , Overall rating 4.7 ,Effectiveness,Ease of Use,Satisfaction,Report this post",My husband and I both work 3rd shift and have taken b/w 5 and 10mg of melatonin for years. Its been effective for us both. Definitely worth the occassional bad dream to be refreshed enough to go to work. 
 8/3/2013 , Mimi |  Age: 65-74 |   On supplement for less than 1 month |   ," Condition: Other , Overall rating 4.3 ,Effectiveness,Ease of Use,Satisfaction,Report this post",Works well. No hangover effect. 
 6/29/2013 ,  Age: 65-74 |   On supplement for 2 to less than 5 years |   ," Condition: Circadian rhythm sleep disorders , Overall rating 2.7 ,Effectiveness,Ease of Use,Satisfaction,Report this post","When I take it before sleeping it is working only for a short time (two hours)and then I am awake over hours. But sometimes I am very sleepy in the afternoons - may be Melatonin is the reason for that, I do not know, because in times without this supplement I was not so tired though I do not sleep well or long by night. I take Metformin (1000 a day), but until now I did not control the bloodsugar so often to say that it is increased with the dose of Melatonin (3 mg each second day). I am a littl,e bit anxious about all these side effects ...So I better take this supplement cautiously."
 6/28/2013 ,  Age: 65-74 |   On supplement for less than 1 month |   ," Condition: Sleep , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",
 6/16/2013 , Pete Watts |  Age: 45-54 |   On supplement for less than 1 month |   ," Condition: Other , Overall rating 1.7 ,Effectiveness,Ease of Use,Satisfaction,Report this post",I used melatonin for fatigue and ended up waking with the most terrible migraine headache. I gave it a second go 2 weeks later and the same result. Half the day with a blinding headache!  I dropped it cold and have now tried Pro-Health ENERGY NADH and it is showing some considerable success in my wake up fatigue and mood. 
 6/7/2013 , sandr009 |  Age: 45-54 |   On supplement for 2 to less than 5 years |   ," Condition: Shift work disorder , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I have taken Melatonin for about 5 years now and take  15mg at bedtime. It works great if I lay down right away, but if I don't lay down in the first 30 minutes I can really tell a difference in how long it takes me to go to sleep. I recommend it all the time for my family, friends, and patients."
 5/28/2013 , nite nite:-)  |  Age: 45-54 |   On supplement for 2 to less than 5 years |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",Helps with sleeping when I have had a stress full day at work and my mind and body won't shut down .for a rest full and full night sleep with no side effects thanks!!
 5/27/2013 , animialtalker |  Age: 45-54 |   On supplement for 1 to 6 months |   ," Condition: Fatigue , Overall rating 3.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",Would there possibly be a skin rash side effect?
 4/7/2013 , drc |  Age: 45-54 |   On supplement for 6 months to less than 1 year |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",I take this about 30 minutes before I'm ready to go to sleep. Helps me relax and makes me sleepy so I fall asleep easily. 
 4/3/2013 , darcor |  Age: 55-64 |   On supplement for 1 to 6 months |   ," Condition: Other , Overall rating 3.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","Helps me to fall asleep easier but still find I wake up during the night, several times."
 3/18/2013 , curlsnj |  Age: 45-54 |   On supplement for 2 to less than 5 years |   ," Condition: Sleep , Overall rating 4.7 ,Effectiveness,Ease of Use,Satisfaction,Report this post","it has worked wonders for my insomnia, however over the years i have had to increase the dosage. I am up to 70 mg a nite"
 2/7/2013 , Ann-marie |  Age: 55-64 |   On supplement for 1 to less than 2 years |   ," Condition: Fibromyalgia , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","Find this works far better than amitryptiline especially with the depression side of my fibro taking both together caused severe restless legs at first stopped melatonin but went into deep depression so stopped amytriptiline and went back on to melatonin take 3mg still don't sleep a full night every night but can cope with that found that slow release ones not as good as ordinary ones tried increasing once to 6mg but was up all night with mainly restless legs which I have suffered with on and of,f over the years still suffer with excessive tiredness during the day this I can cope with but have trouble coping with the severe depression I get without melatonin "
 2/1/2013 , Komp23 |  Age: 25-34 |   On supplement for 1 to 6 months |   ," Condition: Fibromyalgia , Overall rating 4.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I am a 32 year old male, 6'5"" and roughly 170 lbs (at my heaviest), diagnosed with fibro 2.5 years ago, infrequent (0-5 cigarettes/day) smoker, very little (1-2 drinks/week) alchohol use, 1-2 cups of coffee per day (never past 5pm); exercises (yoga + strenuous stretching) 6 days/week. Trouble falling and staying asleep. Erratic work schedule. I use melatonin infrequently but with extremely high doses (ie used 20mg last night). Result: vivid dreams, but it helps to keep me asleep. Normally I'll s,leep for 4 hours, then wake, sometimes can't fall asleep again. Chronic fatigue. I'm reviewing just to let people know that this dosage is safe for me (I feel well rested, still tired but not wired, not irritable). The dreams are to be looked out for, like I said extremely vivid especially the first couple times using melatonin.  The diagnose of fibro should convey to readers that I have experienced chronic physiological (specifically muscular and nervous system) arousal for prolonged periods of time (10-15 years) due to environmental and emotional stress & poor cultural/familial support for stress resolution. Worst instance of emotional stress from 9-22 years old. It has not been fun. If you are in a similar circumstance, good luck to you, I know you know how difficult reversing/counteracting this situation can be."
 11/28/2012 ,  Age: 7-12 |   On supplement for 2 to less than 5 years |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","my son has been diagnosed with ADHD, ODD and Bipolar tendencies. We have been Using Melatonin for several years at bedtime to help him relax and go to sleep. He takes 1-3 of the 1 mg chewables. It has worked beautifully.  It is very effective for getting him to sleep within 30 min."
 11/22/2012 , NightOwl |  Age: 25-34 |   On supplement for less than 1 month |   ," Condition: Sleep , Overall rating 2.3 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I have trouble falling asleep, not sleeping. I need to find other drugs to boost the effect to fall asleep."
 11/20/2012 , asd |  Age: 19-24 |   On supplement for less than 1 month |   ," Condition: Other , Overall rating 4.7 ,Effectiveness,Ease of Use,Satisfaction,Report this post","Helped anxiety because of better/deeper sleep, I think."
 11/17/2012 , Greg |  Age: 45-54 |   On supplement for 10 years or more |   ," Condition: Sleep , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",I have taken melatonin on and off for years. I generally take 3mg and have found that with just normal 3 mg I will still wake up around 3am. However with 3 mg time released I sleep soundly until 6 am. The time release is the key for me. 
 11/5/2012 , skealy |  Age: 55-64 |   On supplement for 1 to 6 months |   ," Condition: Fibromyalgia , Overall rating 2.3 ,Effectiveness,Ease of Use,Satisfaction,Report this post",It hasn't worked for me.
 10/31/2012 , Amber |  Age: 19-24 |   On supplement for less than 1 month |   ," Condition: Shift work disorder , Overall rating 3.7 ,Effectiveness,Ease of Use,Satisfaction,Report this post","Started using melatonin when I stopped working third shift. Couldn't get my body to change sleeping schedules naturally. I took 5mg half an hour before going to bed, and it was extremely effective at helping me fall asleep.    Unfortunately, I did not stay asleep. I would have terrible, disturbing nightmares that woke me up regularly. I also experienced neck pain and extreme grogginess upon waking the next day (which was likely due to tossing and turning all night).    After taking the pills for, a few weeks, I decided to stop. I have high anxiety, and the dreams I experienced were worse than the insomnia I was previously battling."
 9/27/2012 , savage mom |  Age: 35-44 |   On supplement for less than 1 month |   ," Condition: Other , Overall rating 4.3 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I started giving melatonin to my 7 yr old who has not been officially diagnosed with adhd but I am positive he has it. I absolutly refuse to put him on any type of zombie drug so I started off giving him this at night.  He kept getting in trouble at shcool and has already failed the 1st grade.  Always the same notes every week, not staying focused, inattentive, does not use time wisely.  Well I decided to give melatonin a shot during the day.  I gave him one 3 mg in the am before school and have, been for the past 2 weeks.  I called his teacher and asked her if he was having any problems staying awake in class and she said he didnt.  She also told me that he has been very well behaved and focused for most of the day till right at the end.  He got his weekly report and everything was great, he has never since kindergarten and the first time around in 1st grade got all S's (satisfactory).... I am sold by this.  He comes home in the evening and does his homework with out a (big) fight.  He is doing so much better.  "
 9/25/2012 , culmarvann |  Age: 65-74 |   On supplement for 6 months to less than 1 year |   ," Condition: Other , Overall rating 1.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","With a number of pain-causing senior-years issues, melatonin is suggested by my general practitioner to help me get more sleep.  It doesn't appear to help, and I am lucky to get 5 hrs./night sleep.  Not enough!"
 9/24/2012 ," ogbeau4u, |  Age: 35-44 |   On supplement for 1 to 6 months |   "," Condition: Circadian rhythm sleep disorders , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",great. really helps
 9/24/2012 ," , |  Age: 35-44 |   On supplement for 1 to less than 2 years |   "," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",GREAT.
 9/10/2012 , Melatonin |  Age: 45-54 |   On supplement for less than 1 month |   ," Condition: Other , Overall rating 1.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",Made me very nauseated and a slight headache
 9/10/2012 , Mahstakilla  |  Age: 25-34 |   On supplement for less than 1 month |   ," Condition: Circadian rhythm sleep disorders , Overall rating 2.7 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I am too only taking one half of a 3mg melatonin, and I fall asleep fast but I wake up almost once an hour throughout the night. Waking feeling fully rested then falling back asleep. And also vivid nightmares. Can anyone explain this? it seems to be common."
 9/4/2012 , 66Vette |  Age: 75 or over |   On supplement for 2 to less than 5 years |   ," Condition: Sleep , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",I always have had a difficult time falling asleep and sometimes staying asleep. The 1mg sub-lingual taken about a half hour before bed lets me fall asleep quickly and stay asleep all night. It works fine and no hangover all day.
